title,link,summary,published,source,category,priority,guid,author,tags,id
Trump tried slowing China’s AI development. He may have hurt Nvidia instead.,https://www.marketwatch.com/story/trump-tried-slowing-chinas-ai-development-he-may-have-hurt-nvidia-instead-8264c2bc?mod=mw_rss_topstories,Nvidia finds itself caught between its competition and the Trump administration.,2025-08-11 20:53:00,MarketWatch Top Stories,general_financial,1,WP-MKTW-0004351658,Jurica Dujmovic,[],521d3ce66984a4fe052519a5dfee0ae0
Trump says gold will not be tariffed,https://www.cnbc.com/2025/08/11/trump-gold-tariffs-futures.html,A ruling by U.S. Customs and Border Protection that gold bars from Switzerland were subject to tariffs surprised the market.,2025-08-11 20:52:50,CNBC World News,general_financial,1,108184325,,[],6a09acf4bdee7ca62a3d16882bd00bc2
Newly engaged Cristiano Ronaldo’s $700 million contract: How its perks compare with what other top athletes and CEOs get,https://www.marketwatch.com/story/cristiano-ronaldos-new-700-million-contract-reportedly-includes-private-jet-credits-and-personal-staff-heres-how-that-compares-with-perks-for-other-top-athletes-and-ceos-a76253ab?mod=mw_rss_topstories,Portuguese star’s deal with Saudi club Al Nassr is set to be the most lucrative sports contract ever in average annual value,2025-08-11 20:46:00,MarketWatch Top Stories,general_financial,1,WP-MKTW-0004295922,Weston Blasi,[],4e5d07b68301af2d0b5b5a4f34d4625b
Amazon has 'beautiful' and 'romantic' solar patio lights for only $27 right now,https://www.thestreet.com/deals/cooo-6-pack-crackle-glass-solar-lanterns-amazon-sale,"""These solar lanterns gave my backyard a warm, inviting glow that feels effortlessly magical.""",2025-08-11 20:45:00,TheStreet,investing_markets,1,https://www.thestreet.com/deals/cooo-6-pack-crackle-glass-solar-lanterns-amazon-sale,Ashley Jones,"[{'term': 'Savings', 'scheme': None, 'label': None}, {'term': 'Patio & Garden', 'scheme': None, 'label': None}, {'term': 'Household Products', 'scheme': None, 'label': None}, {'term': 'Amazon', 'scheme': None, 'label': None}, {'term': 'Outdoors', 'scheme': None, 'label': None}, {'term': 'Deals', 'scheme': None, 'label': None}, {'term': 'Deals & Bargains News', 'scheme': None, 'label': None}, {'term': 'Home', 'scheme': None, 'label': None}, {'term': 'Commerce Deal', 'scheme': None, 'label': None}, {'term': 'Commerce', 'scheme': None, 'label': None}, {'term': 'Shopping', 'scheme': None, 'label': None}]",45fd7e46efd3b81cedc08e1453ae8c19
Birkin bag maker raises red flag about a disruptive customer trend,https://www.thestreet.com/retail/birkin-bag-maker-raises-red-flag-about-a-disruptive-customer-trend,"The CEO of Hermès is sounding the alarm on the impact of ""false customers.""",2025-08-11 20:37:00,TheStreet,investing_markets,1,https://www.thestreet.com/retail/birkin-bag-maker-raises-red-flag-about-a-disruptive-customer-trend,Patricia Battle,"[{'term': 'Luxury', 'scheme': None, 'label': None}, {'term': 'CEO', 'scheme': None, 'label': None}, {'term': 'Shopping', 'scheme': None, 'label': None}, {'term': 'Retail', 'scheme': None, 'label': None}, {'term': 'Sales', 'scheme': None, 'label': None}, {'term': 'Fashion', 'scheme': None, 'label': None}, {'term': 'Price', 'scheme': None, 'label': None}, {'term': 'Investing News, Analysis, and Tips', 'scheme': None, 'label': None}, {'term': 'Retail, Shopping Malls, Chain Stores News & Analysis', 'scheme': None, 'label': None}, {'term': 'Company Earnings News, Reports, and Whispers', 'scheme': None, 'label': None}, {'term': 'Stock Investing News, Analysis and Tips', 'scheme': None, 'label': None}, {'term': 'Luxury Goods', 'scheme': None, 'label': None}, {'term': 'Consumer', 'scheme': None, 'label': None}, {'term': 'Earnings', 'scheme': None, 'label': None}]",621270d2432526615167006deac5afc6
"S&P, Dow Slips Ahead of CPI Hearing | Closing Bell",https://www.bloomberg.com/news/videos/2025-08-11/s-p-dow-slips-ahead-of-cpi-hearing-closing-bell-video,"Comprehensive cross-platform coverage of the U.S. market close on Bloomberg Television, Bloomberg Radio, and YouTube with Romaine Bostick, Vonnie Quinn, Isabelle Lee and Tim Stenovec. (Source: Bloomberg)",2025-08-11 20:35:19,Bloomberg Markets,general_financial,1,https://www.bloomberg.com/news/videos/2025-08-11/s-p-dow-slips-ahead-of-cpi-hearing-closing-bell-video,,[],ab1ad18a18cb2b53b511221fba59d297
Tesla stock price surges as popular analyst revamps target,https://www.thestreet.com/investing/stocks/tesla-stock-price-surges-as-popular-analyst-revamps-target,Here's what could happen to Tesla shares next.,2025-08-11 20:34:39,TheStreet,investing_markets,1,https://www.thestreet.com/investing/stocks/tesla-stock-price-surges-as-popular-analyst-revamps-target,Todd Campbell - Co-Editor-in-Chief,"[{'term': 'Investing', 'scheme': None, 'label': None}, {'term': 'Investing News, Analysis, and Tips', 'scheme': None, 'label': None}, {'term': 'Latest Stock Market News & Data', 'scheme': None, 'label': None}, {'term': 'Elon Musk', 'scheme': None, 'label': None}, {'term': 'Stocks', 'scheme': None, 'label': None}, {'term': 'Stock Investing News, Analysis and Tips', 'scheme': None, 'label': None}, {'term': 'Cars', 'scheme': None, 'label': None}, {'term': 'Automotive', 'scheme': None, 'label': None}, {'term': 'Tesla', 'scheme': None, 'label': None}]",d35b8e28cc69d700827b2818240bcc32
"Klein: Nvidia, AMD Deal Doesn't Mean ""Free-for-All"" For Companies Selling to China",https://www.bloomberg.com/news/videos/2025-08-11/klein-nvidia-amd-deal-doesn-t-mean-free-for-all-video,"US President Donald Trump signaled on Monday that he’d be open to allowing Nvidia Corp. to sell a scaled-back version of its most advanced AI chip to China. Trump said he would consider a deal that would allow Nvidia to ship its Blackwell chips to China if the company could design it to be less advanced. “It’s possible I’d make a deal” on a “somewhat enhanced &mdash; in a negative way &mdash; Blackwell” processor, he said in a briefing with reporters. “In other words, take 30% to 50% off of it.”  Jordan Klein, Managing Director at Mizuho Securities USA tells Bloomberg Businessweek Daily says the policy change enables Nvidia to sell more chips.  (Source: Bloomberg)",2025-08-11 20:31:48,Bloomberg Markets,general_financial,1,https://www.bloomberg.com/news/videos/2025-08-11/klein-nvidia-amd-deal-doesn-t-mean-free-for-all-video,,"[{'term': 'NMS:AMD', 'scheme': 'stock-symbol', 'label': None}, {'term': 'NMS:NVDA', 'scheme': 'stock-symbol', 'label': None}]",2cfee2858736ecac4ccc6bd2b256d2a6
Trump extends China tariff deadline by 90 days,https://www.cnbc.com/2025/08/11/trump-china-tariffs-deadline-extended.html,President Donald Trump has signed an executive order that will prevent U.S. tariffs on Chinese goods from spiking for another 90 days.,2025-08-11 20:31:33,CNBC World News,general_financial,1,108184351,,[],64f25e685ddb308892f609c688bf9b79
10 stocks with recently increased dividends — and why they merit a closer look,https://www.marketwatch.com/story/10-stocks-with-recently-increased-dividends-and-why-they-merit-a-closer-look-027987ed?mod=mw_rss_topstories,Companies that are increasing their dividends are good bets to hold their own during the next economic downturn.,2025-08-11 20:29:00,MarketWatch Top Stories,general_financial,1,WP-MKTW-0004379470,Mark Hulbert,[],eb371ef22669f8c80a44c76f615f0ce4
WeightWatchers’ stock reverses gains despite weight-loss-drug subscriptions boosting revenue,https://www.marketwatch.com/story/weightwatchers-stock-leaps-as-weight-loss-drug-subscriptions-boost-revenue-59b2edab?mod=mw_rss_topstories,"WW International, the company known as WeightWatchers, brought back its full-year outlook when it reported second-quarter results.",2025-08-11 20:23:00,MarketWatch Top Stories,general_financial,1,WP-MKTW-0004378023,James Rogers,[],19d53c46fbf61acd8f319e6aca14e378
Merck KGaA Plans $4 Billion Bond Sale to Fund SpringWorks Therapeutics Acquisition,https://www.bloomberg.com/news/articles/2025-08-11/merck-kgaa-is-said-to-plan-4-billion-bond-sale-to-fund-purchase,"Merck KGaA, a German maker of drugs and electronics, is looking to sell around $4 billion of US investment-grade bonds to help fund its acquisition of SpringWorks Therapeutics Inc., according to people with knowledge of the matter.",2025-08-11 20:13:45,Bloomberg Markets,general_financial,1,https://www.bloomberg.com/news/articles/2025-08-11/merck-kgaa-is-said-to-plan-4-billion-bond-sale-to-fund-purchase,"Josyana Joshua, Caleb Mutua, Ethan M Steinberg","[{'term': 'GER:MRK', 'scheme': 'stock-symbol', 'label': None}]",a711747a334ab7fa6db56f7a114658ed
What Trump's Nvidia and AMD China deal means for the world,https://www.cnbc.com/2025/08/11/trump-nvidia-amd-china-chip-revenue-deal-implications.html,Analysts said the deal to give some China revenue to the U.S. government is positive for both AMD and Nvidia as they get access to a huge market.,2025-08-11 20:13:39,CNBC World News,general_financial,1,108183979,,[],bb6393bf4e83c9fbe62611d7958e0052
